Sigla,Codigo,Munic_pio,Domic_lios - com _gua encanada - pessoas (2000),Domic_lios - com servi_o de coleta de lixo - pessoas (2000),Domic_lios - com energia el_trica - pessoas (2000),Domic_lios - com material de constru__o dur_vel - pessoas (1991),Domic_lios - com instala__o adequada de esgoto - pessoas (1991),Domic_lios - com _gua encanada - pessoas (1991),Domic_lios - com servi_o de coleta de lixo - pessoas (1991),Domic_lios - com energia el_trica - pessoas (1991),Taxa de participa__o - mulheres (2000),Populacao Ocupada (2000),Renda per capita - 1991,Renda per capita - 2000,ndice de Desenvolvimento Humano - 1991,ndice de Desenvolvimento Humano - 2000,Popula__o (2000),Popula__o rural (2000),Popula__o urbana (2000),Taxa de fecundidade (2000),ANS 2015,ANS 2016,Interna__es - 2015,Interna__es - 2016,Produ__o Ambulatorial do SUS - 2015,Produ__o Ambulatorial do SUS - 2016
RO,1100015,Alta Floresta D'Oeste,58.67,70.3,70.42,84.9,7.5,21.5,6.8,36.79,0.41,11929.00,92.90,188.27,0.61,0.72,26533.00,14192.00,12341.00,3.11,1761.00,1911.00,2313.00,993.00,727804.00,239703.00
RO,1100023,Ariquemes,73.73,90.51,93.44,96.5,9.2,55.32,78.4,73.45,0.41,30408.00,168.52,268.31,0.66,0.75,74503.00,19385.00,55118.00,2.77,8596.00,8409.00,5811.00,2468.00,1252666.00,481448.00
RO,1100031,Cabixi,60.3,69.59,79.07,95.7,33.8,14.26,49.06,25.6,0.31,3006.00,89.29,172.54,0.62,0.71,7518.00,4846.00,2672.00,2.95,282.00,231.00,290.00,127.00,101631.00,41568.00
RO,1100049,Cacoal,78.84,90.33,90.6,96.2,58.8,50.26,65.7,57.53,0.41,31192.00,168.82,230.05,0.67,0.76,73568.00,22170.00,51398.00,2.34,8484.00,8641.00,10405.00,5372.00,1686624.00,910594.00
RO,1100056,Cerejeiras,74.09,70.09,91.84,97.4,38.4,43.38,32.28,56.77,0.41,7434.00,156.28,253.92,0.66,0.75,18207.00,3361.00,14846.00,2.44,806.00,836.00,1485.00,673.00,246864.00,133162.00
RO,1100064,Colorado do Oeste,71.27,58.21,92.37,97.3,19.9,39.41,18.25,45.42,0.35,8495.00,120.65,200.96,0.65,0.74,21892.00,7316.00,14576.00,2.33,1241.00,1277.00,669.00,181.00,386617.00,176028.00
RO,1100072,Corumbiara,36.32,50.95,52.86,NA,NA,8.59,NA,8.19,0.25,3627.00,50.30,123.31,0.54,0.67,10459.00,8386.00,2073.00,3.05,152.00,153.00,NA,NA,120856.00,38666.00
RO,1100080,Costa Marques,40.76,41.79,71.77,92.1,21.6,29.61,23.98,66.63,0.36,3864.00,135.13,160.81,0.65,0.69,10208.00,3450.00,6758.00,3.95,348.00,348.00,190.00,NA,94995.00,18587.00
RO,1100098,Espig_o D'Oeste,68.47,84.83,77.88,93.9,58,40.66,57.18,47.72,0.3,9791.00,135.89,214.62,0.65,0.74,25688.00,11426.00,14262.00,2.81,1742.00,1904.00,1340.00,686.00,371277.00,240050.00
RO,1100106,Guajar_NAMirim,51.62,77.82,90.19,88.4,49.4,49.82,85.21,80.01,0.45,13408.00,209.65,212.12,0.71,0.74,38045.00,5010.00,33035.00,3.02,2764.00,2600.00,3123.00,700.00,390196.00,156997.00
RO,1100114,Jaru,61.79,71.61,83.39,93.6,14.8,32.78,43.35,49.69,0.35,21418.00,124.57,198.26,0.65,0.73,53600.00,24023.00,29577.00,2.56,3405.00,3471.00,2670.00,1343.00,1199837.00,119591.00
RO,1100122,JiNAParan_,78.4,84.94,96.07,98.8,42,55.55,53.96,71.27,0.43,44190.00,164.85,269.38,0.68,0.75,106800.00,15787.00,91013.00,2.26,14700.00,14848.00,9300.00,4715.00,3817378.00,2164970.00
RO,1100130,Machadinho D'Oeste,38.12,59.76,58.27,89.6,NA,23.49,2.91,37.03,0.29,7320.00,139.46,160.45,0.63,0.69,22739.00,11758.00,10981.00,3.16,834.00,868.00,543.00,NA,223021.00,48552.00
RO,1100148,Nova Brasil_ndia D'Oeste,54.44,40.53,72.19,93.5,NA,11.97,0.47,20.12,0.33,7375.00,72.99,157.66,0.59,0.69,17067.00,10643.00,6424.00,3.02,433.00,444.00,79.00,NA,15149.00,NA
RO,1100155,Ouro Preto do Oeste,76.72,88.52,91.48,92.1,50.2,45.04,66.61,60.2,0.41,17390.00,146.36,243.83,0.65,0.73,40884.00,14343.00,26541.00,2.29,3437.00,3350.00,2786.00,NA,352647.00,142291.00
RO,1100189,Pimenta Bueno,81.3,91.1,88.88,96.4,55.9,61.85,74.02,77.51,0.39,12213.00,174.53,256.57,0.66,0.75,31752.00,5329.00,26423.00,2.90,3629.00,3873.00,2198.00,1144.00,180214.00,163350.00
RO,1100205,Porto Velho,71.48,85.9,97.06,95.6,55.1,58.26,68.68,95.47,0.48,125587.00,246.81,305.21,0.71,0.76,334661.00,60952.00,273709.00,2.63,104153.00,88878.00,41757.00,17644.00,16677584.00,7827227.00
RO,1100254,Presidente M_dici,67.56,82.67,80.7,94.4,46.8,30.61,50.3,40.46,0.35,11057.00,100.30,177.60,0.62,0.71,26365.00,14191.00,12174.00,2.59,1668.00,1663.00,691.00,192.00,1232631.00,45364.00
RO,1100262,Rio Crespo,38.26,77.52,66.11,NA,NA,15.31,NA,24.18,0.32,1282.00,97.25,250.53,0.57,0.71,2937.00,2070.00,867.00,3.01,143.00,139.00,45.00,NA,27037.00,19026.00
RO,1100288,Rolim de Moura,75.4,86.32,93.77,93.4,7.1,36.43,32.43,52.92,0.41,19795.00,136.93,225.39,0.66,0.75,47382.00,12961.00,34421.00,2.84,3321.00,3338.00,5448.00,896.00,701215.00,236155.00
RO,1100296,Santa Luzia D'Oeste,54,49.57,79.07,93,4.1,16.87,29.18,21.13,0.34,4656.00,68.98,120.17,0.56,0.68,11603.00,6716.00,4887.00,2.84,312.00,318.00,763.00,365.00,266846.00,138155.00
