Municipality,Sewage_system,Septic_tank,Total,Proportion_of_sew_or_sep
110001 Alta Floresta D'Oeste,60,563,24054,0.025900058
110037 Alto Alegre dos Parecis,27,47,12758,0.005800282
110040 Alto Para\'edso,30,1870,17098,0.111124108
110034 Alvorada D'Oeste,4868,1054,16677,0.355099838
110002 Ariquemes,1007,6695,89635,0.085926256
110045 Buritis,24,546,32206,0.017698565
110003 Cabixi,6,1388,6298,0.221340108
110060 Cacaul\'e2ndia,4,1241,5719,0.217695401
110004 Cacoal,29822,11246,78282,0.524616131
110070 Campo Novo de Rond\'f4nia,18,2509,12612,0.200364732
110080 Candeias do Jamari,758,1124,19698,0.095542695
110090 Castanheiras,0,51,3546,0.014382403
110005 Cerejeiras,16,2877,16934,0.170839731
110092 Chupinguaia,45,171,8033,0.026889083
110006 Colorado do Oeste,81,884,18524,0.05209458
110007 Corumbiara,22,951,8626,0.112798516
110008 Costa Marques,14,1088,13466,0.081835734
110094 Cujubim,15,1139,15744,0.073297764
110009 Espig\'e3o D'Oeste,93,3803,28538,0.136519728
110100 Governador Jorge Teixeira,25,3090,10480,0.297232824
110010 Guajar\'e1-Mirim,2969,5222,40012,0.204713586
110110 Itapu\'e3 do Oeste,160,122,8473,0.03328219
110011 Jaru,408,1275,51739,0.032528653
110012 Ji-Paran\'e1,3834,19563,115740,0.202151374
110013 Machadinho D'Oeste,42,596,30996,0.020583301
110120 Ministro Andreazza,269,251,10342,0.05028041
110130 Mirante da Serra,0,224,11874,0.018864747
110140 Monte Negro,13,157,14008,0.012135922
110014 Nova Brasil\'e2ndia D'Oeste,27,710,19645,0.037515907
110033 Nova Mamor\'e9,14,1803,22306,0.081457904
110143 Nova Uni\'e3o,0,84,7483,0.011225444
110050 Novo Horizonte do Oeste,388,574,10199,0.094322973
110015 Ouro Preto do Oeste,367,3381,37685,0.099456017
110145 Parecis,0,30,4758,0.00630517
110018 Pimenta Bueno,2568,10160,33554,0.379328843
110146 Pimenteiras do Oeste,0,422,2277,0.185331577
110020 Porto Velho,39748,140036,419909,0.428149909
110025 Presidente M\'e9dici,170,205,22199,0.016892653
110147 Primavera de Rond\'f4nia,1,64,3497,0.018587361
110026 Rio Crespo,0,753,3285,0.229223744
110028 Rolim de Moura,291,7058,50230,0.146306988
110029 Santa Luzia D'Oeste,100,77,8836,0.020031689
110148 S\'e3o Felipe D'Oeste,15,954,5995,0.161634696
110149 S\'e3o Francisco do Guapor\'e9,0,638,15976,0.039934902
110032 S\'e3o Miguel do Guapor\'e9,49,2194,21699,0.103368819
110150 Seringueiras,20,2194,11475,0.192941176
110155 Teixeir\'f3polis,6,102,4849,0.022272634
110160 Theobroma,43,1068,10316,0.107696782
110170 Urup\'e1,7,1512,12911,0.117651615
110175 Vale do Anari,0,61,9370,0.006510139
110180 Vale do Para\'edso,0,23,8182,0.002811049
110030 Vilhena,842,9159,75472,0.13251272
