Municipality,Num_piped_water,Total,Proportion
110001 Alta Floresta D'Oeste,5572,24054,0.231645464
110037 Alto Alegre dos Parecis,872,12758,0.068349271
110040 Alto Para\'edso,1016,17098,0.059422155
110034 Alvorada D'Oeste,7161,16677,0.429393776
110002 Ariquemes,31012,89635,0.345980923
110045 Buritis,103,32206,0.003198162
110003 Cabixi,1495,6298,0.237376945
110060 Cacaul\'e2ndia,492,5719,0.086029026
110004 Cacoal,58642,78282,0.749112184
110070 Campo Novo de Rond\'f4nia,2659,12612,0.210830955
110080 Candeias do Jamari,11565,19698,0.587115443
110090 Castanheiras,876,3546,0.247038917
110005 Cerejeiras,5496,16934,0.324554151
110092 Chupinguaia,5000,8033,0.622432466
110006 Colorado do Oeste,11078,18524,0.598034982
110007 Corumbiara,1066,8626,0.123579875
110008 Costa Marques,2118,13466,0.157285014
110094 Cujubim,1559,15744,0.09902185
110009 Espig\'e3o D'Oeste,7570,28538,0.265260355
110100 Governador Jorge Teixeira,36,10480,0.003435115
110010 Guajar\'e1-Mirim,16931,40012,0.423148056
110110 Itapu\'e3 do Oeste,2534,8473,0.299067627
110011 Jaru,12118,51739,0.234214036
110012 Ji-Paran\'e1,52200,115740,0.451010886
110013 Machadinho D'Oeste,9413,30996,0.303684346
110120 Ministro Andreazza,1941,10342,0.1876813
110130 Mirante da Serra,1608,11874,0.13542193
110140 Monte Negro,3823,14008,0.272915477
110014 Nova Brasil\'e2ndia D'Oeste,5254,19645,0.267447188
110033 Nova Mamor\'e9,1406,22306,0.063032368
110143 Nova Uni\'e3o,620,7483,0.08285447
110050 Novo Horizonte do Oeste,1341,10199,0.131483479
110015 Ouro Preto do Oeste,17038,37685,0.452116227
110145 Parecis,1260,4758,0.26481715
110018 Pimenta Bueno,23431,33554,0.698307206
110146 Pimenteiras do Oeste,1094,2277,0.480456741
110020 Porto Velho,158410,419909,0.377248404
110025 Presidente M\'e9dici,7270,22199,0.327492229
110147 Primavera de Rond\'f4nia,1730,3497,0.494709751
110026 Rio Crespo,254,3285,0.077321157
110028 Rolim de Moura,24606,50230,0.489866614
110029 Santa Luzia D'Oeste,1526,8836,0.17270258
110148 S\'e3o Felipe D'Oeste,1213,5995,0.202335279
110149 S\'e3o Francisco do Guapor\'e9,4,15976,0.000250376
110032 S\'e3o Miguel do Guapor\'e9,1449,21699,0.066777271
110150 Seringueiras,1009,11475,0.087930283
110155 Teixeir\'f3polis,458,4849,0.094452464
110160 Theobroma,969,10316,0.093931756
110170 Urup\'e1,1868,12911,0.144682829
110175 Vale do Anari,1216,9370,0.12977588
110180 Vale do Para\'edso,407,8182,0.049743339
110030 Vilhena,71386,75472,0.945860717
120001 Acrel\'e2ndia,3535,12489,0.283049083
120005 Assis Brasil,2832,6017,0.470666445
120010 Brasil\'e9ia,11230,21275,0.527849589
120013 Bujari,3348,8420,0.397624703
120017 Capixaba,3398,8762,0.387811002
120020 Cruzeiro do Sul,38778,77956,0.49743445
120025 Epitaciol\'e2ndia,8867,15005,0.590936355
120030 Feij\'f3,4124,32251,0.127872004
120032 Jord\'e3o,2167,6555,0.330587338
120033 M\'e2ncio Lima,7927,15128,0.523995241
120034 Manoel Urbano,4425,7941,0.557234605
120035 Marechal Thaumaturgo,2962,14170,0.209033169
120038 Pl\'e1cido de Castro,5833,17132,0.340473967
120080 Porto Acre,3545,14842,0.238849212
120039 Porto Walter,3348,9088,0.368397887
120040 Rio Branco,175795,333241,0.527531126
120042 Rodrigues Alves,5944,14343,0.414418183
120043 Santa Rosa do Purus,1745,4676,0.373182207
120050 Sena Madureira,14102,37834,0.37273352
120045 Senador Guiomard,6646,20054,0.331405206
120060 Tarauac\'e1,14139,35397,0.399440631
120070 Xapuri,7905,16034,0.493014843
130002 Alvar\'e3es,6840,14043,0.487075411
130006 Amatur\'e1,5987,9367,0.639158749
130008 Anam\'e3,5092,10174,0.500491449
130010 Anori,9701,16252,0.596911149
130014 Apu\'ed,2111,17898,0.117946139
130020 Atalaia do Norte,5623,15071,0.373100657
130030 Autazes,6467,31951,0.202403681
130040 Barcelos,10238,23103,0.443145912
130050 Barreirinha,15255,27211,0.560618867
130060 Benjamin Constant,15847,32923,0.481335237
130063 Beruri,7931,15475,0.512504039
130068 Boa Vista do Ramos,8071,14856,0.543282176
130070 Boca do Acre,16638,30370,0.547843266
130080 Borba,16583,34885,0.475361903
130083 Caapiranga,2210,10919,0.202399487
130090 Canutama,6685,12732,0.52505498
130100 Carauari,15834,25690,0.616348774
130110 Careiro,11250,32664,0.344415871
130115 Careiro da V\'e1rzea,2545,23873,0.106605789
130120 Coari,19604,75493,0.259679705
130130 Codaj\'e1s,13232,23155,0.57145325
130140 Eirunep\'e9,13890,30596,0.453980913
130150 Envira,3597,16313,0.220498989
130160 Fonte Boa,14284,22747,0.627950939
130165 Guajar\'e1,4312,13881,0.310640444
130170 Humait\'e1,30380,44021,0.690125168
130180 Ipixuna,8287,22195,0.373372381
130185 Iranduba,25699,40601,0.632964705
130190 Itacoatiara,62846,86293,0.728286188
130195 Itamarati,2806,8029,0.349483124
130200 Itapiranga,6396,8109,0.788753237
130210 Japur\'e1,3279,7248,0.452400662
130220 Juru\'e1,4728,10763,0.439282728
130230 Juta\'ed,10850,17929,0.605164817
130240 L\'e1brea,9152,37497,0.244072859
130250 Manacapuru,47439,84853,0.559072749
130255 Manaquiri,7867,22641,0.347466985
130260 Manaus,1364258,1793954,0.760475464
